"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "TypeScript JSX", "YAML", "CSS", "Docker", "MS SQL", "Prisma", "comment", "blank", "total"
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/tailwind.config.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 72
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/admin/tsconfig.json", "JSON with Comments", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 5, 40
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/README.md", "Markdown", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 2, 29, 99
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 2, 36
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/nest-cli.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/package.json", "JSON", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 102
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20250624120000_init/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 49, 60, 262
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20250624180000_phase2_ecommerce/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 16, 34, 212
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20250624200000_phase3_inventory/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 50, 60, 265
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20250625120000_distributor_qr_revoked_at/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 6
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20250625140000_commission_performance_indexes/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 4, 12
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260625044035_gaps_epic_settings_transfers_distributor/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 21, 22, 95
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260625120000_phase5_hq_branch_channel/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 8, 30
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260701065425_init/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 46, 58, 265
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260703120000_unified_platform_account/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 15, 19, 127
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260703140000_sales_promoter/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 6, 13
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260703180000_channel_funds_model/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 7, 9, 28
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260703200000_flagship_catalog_store/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 4, 10
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260704020000_platform_roles_rbac/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 4, 17
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260704080507_branch_purchase_orders/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 24, 27, 106
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260704100000_merchant_plugin_system/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 9, 11, 54
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260704120000_procurement_receiving_addresses/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 6, 7, 32
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260704140000_order_shipped_by_merchant/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260704160000_remove_branch_distributor_binding/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 12, 12, 46
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260704161000_remove_crm_lead_distributor/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 6
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/migrations/20260705120000_business_flow_p2_p3/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 3, 9
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 888, 127, 132, 1147
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/prisma/seed.ts", "TypeScript", 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 222
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/app.controller.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/app.controller.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/app.module.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/app.service.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
