"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "Markdown", "Docker", "DotENV", "YAML", "Prisma", "MS SQL", "JavaScript", "comment", "blank", "total"
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/merchant/procurement/merchant-procurement.service.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/merchant/settings/merchant-procurement-addresses.service.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/orders/order-lifecycle.service.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/payout/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/payout/payout.module.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/payout/payout.service.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/accounts/platform-accounts.service.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/allocations/platform-allocations.controller.ts", "TypeScript", -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -11
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/allocations/platform-allocations.module.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/allocations/platform-allocations.service.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/auth/platform-auth.service.ts", "TypeScript", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/catalog/product-content.util.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 127
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/dashboard/platform-dashboard.service.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/flagship-catalog/flagship-catalog.service.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/funds/platform-funds.service.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/merchants/platform-merchants.controller.ts", "TypeScript", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/merchants/platform-merchants.service.ts", "TypeScript", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/procurement/platform-procurement.service.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/users/platform-users.service.ts", "TypeScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/withdrawals/platform-withdrawals.controller.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/withdrawals/platform-withdrawals.module.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/platform/withdrawals/platform-withdrawals.service.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/plugins/crm-plugin.guard.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/plugins/plugin.guard.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/plugins/plugin.service.ts", "TypeScript", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/queue/inventory-queue.service.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/queue/order.processor.ts", "TypeScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/store/account/dto/store-account.dto.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 98
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/store/account/store-account-addresses.service.ts", "TypeScript", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 178
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/store/account/store-account.controller.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 77
"/Users/zhuzy2024/Documents/Workspace/MeridianERP/apps/api/src/store/auth/dto/store-auth.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
